country	name	url	category	description	date_added	source	notes
Algeria	GDG Algiers	https://gdgalgiers.com/	Civil society	A Google Developers Group in Algeria, gathering local software developers.	2021-05-27		
Algeria	Université Badji Mokhtar Annaba	http://lri.univ-annaba.dz/?p=42	Education and research	An AI research group part of the university's computer science research lab.	2021-05-27		
Algeria	Université des Sciences et de la Technologie Houari Boumediène	https://fei.usthb.dz/spip.php?article75	Education and research	Offers a Master’s in Intelligent Systems.	2021-05-27		
Algeria	Universite de Jijel Faculte des Sciences Exactes et Informatique	http://www.univ-jijel.dz/fsei/index.php/master-academique-en-intelligence-artificielle-ia	Education and research	Offers a Master’s in AI.	2021-05-27		
Algeria	School of AI Algiers	https://www.facebook.com/pg/SchoolofAIAlgiers/	Education and research	Local chapter of School of AI company which teaches machine learning and data science.	2021-05-27		
Algeria	Université Mohamed Khider Biskra	http://univ-biskra.dz/index.php/en/presentation/facultes-et-departements/45-news/anonces/2356-call-for-applications-artificial-intelligence-in-the-social-sciences-research-area	Education and research	Research group focusing on the social sciences aspect of AI.	2021-05-27		
Algeria	École Nationale Supérieure d'Informatique – Laboratoire de la Communication dans les Systèmes Informatiques	http://lcsi.esi.dz/	Education and research	An information systems and communication research group with AI on the research agenda.	2021-05-27		
Algeria	IC-AIRES2020 — International Conference on Artificial Intelligence in Renewable Energetic Systems	https://www.archeditech.org/	Education and research	A conference happening in Algeria at the intersection of AI and renewable energy.	2021-05-27		
Algeria	Université Mohamed-Chérif Messaadia Souk Ahras – Département de Mathématiques et Informatique	http://www.univ-soukahras.dz/fr/module/173	Education and research	Offers Master's in Web and AI.	2021-05-27		
Algeria	University of Jijel – Faculté des Sciences Exactes et Informatique	http://www.univ-jijel.dz/fsei/index.php/master-academique-en-intelligence-artificielle-ia	Education and research	Offers Master's in AI.	2021-05-27		
Algeria	Centre de Développement des Technologies Avancées	https://www.cdta.dz/fr/	Education and research	National research center for the development of advanced technology, with AI on the agenda.	2021-05-27		
Algeria	Sylabs (Entrepreneurial Hub)	http://sylabs-dz.com/dz-ecosystem-mapping/	Funding	Entrepreneurial hub.	2021-05-27		
Algeria	Ministry of Higher Education and Scientific Research	https://www.mesrs.dz/en_US	Government	Working on a strategic national AI plan which allocates 20 billion Algerian dollars for AI development.	2021-05-27		
Algeria	Algeria 2.0	https://algeria20.com/	Industry	A conference for tech enthusiasts and professionals in Algeria.	2021-05-27		
Algeria	ISINIAA	https://isiniaa.com/	Industry	A B2B company offering AI and big data as a service.	2021-05-27		
Bahrain	Artificial Intelligence Society Bahrain	https://www.cshub.com/events-cybersecurityme/mediapartners/artificial-intelligence-society-bahrain	Civil society	Non-profit independent organisation aimed at promoting AI locally.	2021-05-27		
Egypt	Akhbarmeter	https://akhbarmeter.org/	Civil society	A media observatory and fact-checking platform that applies AI algorithms in its credibility rating process.	2021-05-27		
Egypt	Mada Masr	https://madamasr.com/en	Civil society	Online independent media outlet currently censored in Egypt.	2021-05-27		
Bahrain	Bahrain Polytechnic AI Academy	https://ai.polytechnic.bh/	Education and research	First AI academy in Bahrain offering vocational short courses in data science and AI aligned with Microsoft's certification.	2021-05-27		
Bahrain	Tenmou	https://tenmou.me/	Funding	Angel investors investing in scalable, technology-focused companies.	2021-05-27		
Bahrain	C5 Accelerate	https://www.c5us.com	Funding	A technology investment firm with focus on cloud technology.	2021-05-27		
Bahrain	Seed Fuel	https://www.seedfuel.co/	Funding	A funding program by Bahrain Development Bank, providing startups at seed and early stages with funding, coaching, mentoring, and training.	2021-05-27		
Egypt	International Conference on Artificial Intelligence, Robotics and Control British University Egypt	http://www.airc.org/	Education and research	Conference on AI and Robotics at the British University of Egypt.	2021-05-27		
Egypt	Faculty of Artificial Intelligence at Kafrelsheikh University	http://www.kfs.edu.eg/ai/	Education and research	Offers taught programs in AI.	2021-05-27		
Egypt	Faculty of Computers and Artificial Intelligence at Cairo Univesity	https://fci.cu.edu.eg/	Education and research	Offers Master’s and a PhD.	2021-05-27		
Egypt	Faculty of computer and Artificial Intelligence at Banha University	http://www.fci.bu.edu.eg/	Education and research	Conducts research in AI.	2021-05-27		
Egypt	Faculty of Computers and Information at Helwan University	http://fcih.helwan.edu.eg/index.php/ar/	Education and research	Offers specialisations in AI.	2021-05-27		
Egypt	Faculty of Media Engineering and Technology at Germany University in Cairo	http://www.guc.edu.eg/en/academic_programs/faculties/faculty_details.aspx?facultyId=1	Education and research	Offers courses in AI on a postgraduate level.	2021-05-27		
Egypt	Faculty of Computers & Artificial Intelligence - Beni Suef University	https://www.fcis.bsu.edu.eg/	Education and research	Offers specialisations in AI.	2021-05-27		
Egypt	American University of Cairo	https://www.aucegypt.edu/	Education and research	Master’s and PhD in Computing, specialities in AI available.	2021-05-27		
Egypt	Falak Startups	http://falakstartups.com/	Funding	A startup accelerator designed to support and empower the next generation of Egyptian entrepreneurs, providing funding and many other services.	2021-05-27		
Egypt	Cairo Angels	http://cairoangels.com/	Funding	An angel investment network, investing in, and supporting early-stage startups in Egypt and across the MENA region.	2021-05-27		
Egypt	Endure Capital	https://www.endurecap.com/	Funding	An early stage investment founder-focused venture capital firm.	2021-05-27		
Egypt	Algebra Ventures	https://algebraventures.com/	Funding	A venture capital fund that invests early stage tech startups.	2021-05-27		
Egypt	Ezdehar	http://ezdehar.com/	Funding	A private equity fund manager investing in high growth businesses in Egypt.	2021-05-27		
Egypt	Accelero Capital	http://www.accelerocapital.com/	Funding	An investment and management group focused on telecommunication, digital media, and technology.	2021-05-27		
Egypt	AlexAngels	http://www.alexandriaangels.com/	Funding	An angel network that invests in early stage startups, mainly in Alexandria.	2021-05-27		
Egypt	SECC	https://www.secc.org.eg/	Government	An ICT organization aiming at bridging the gap between the current local technologies and needed technologies for economical, social, and environmental development. SECC organized AI-related workshops as capacity building activities.	2021-05-27		
Egypt	Synapse Analytics	https://www.synapse-analytics.io/	Industry	An analytics tool using AI to help organizations leverage their data and make data-driven decisions.	2021-05-27		
Egypt	AvidBeam	https://www.avidbeam.com/	Industry	A set of tools to extract intelligence information by analyzing thousands of videos in real-time.	2021-05-27		
Egypt	MerQ	http://merq.ai/	Industry	A company specialized in developing chatbots as virtual assistants in the financial sector.	2021-05-27		
Egypt	Botme	https://www.botme.com/	Industry	A platform for building chatbots for businesses and helping manage their business processes.	2021-05-27		
Egypt	WideBot	https://widebot.net/	Industry	An Arabic-focused chatbot builder platform.	2021-05-27		
Egypt	Webville	http://www.webville.io/	Industry	A social rating engine that aggregates and analyses content ratings to help users preview the quality of any link on the web using AI.	2021-05-27		
Egypt	HireHunt	https://hirehunt.com/	Industry	A matchmaking tool that allows recruiters hire suitable candidates faster with the help of AI technology.	2021-05-27		
Egypt	Mintrics	http://mintrics.com/	Industry	A social media video analytics platform that enables publishers to double their viewership by making data-driven decisions.	2021-05-27		
Egypt	DevisionX	https://devisionx.com/	Industry	A company that develops computer vision solutions to aid industrial processes.	2021-05-27		
Egypt	TA Telecom	https://www.tatelecom.com/	Industry	A software development company that builds mobile content platforms and analytic tools, specialising in AI-development.	2021-05-27		
Egypt	Autotell	http://autotell/	Industry	A platform to communicate with your car, get road analytics, and detect faults, and instant driver advice with an AI personal assistant.	2021-05-27		
Iraq	University of Technology - Faculty of Computer Science - AI Branch	https://uotechnology.edu.iq/dep-cs/ai.html	Education and research	The AI branch was established in 2002-2003.	2021-05-27		
Iraq	Iraq Tech Ventures	https://iraqtechventures.com/startups/	Funding	A venture capital firm that provides minimum investment to approved startups in Iraq and the Middle East.	2021-05-27		
Iraq	The Station	http://facebook.com/pg/thestationiq	Industry	Entrepreneurial hub, with a workspace specific to AI innovation	2021-05-27		
Jordan	Phi Science	https://aais.phiscience.co/	Civil society	A community of scientists interested in education and applied research. Most recently, they organised the Arab AI summit.	2021-05-27		
Jordan	7iber	https://www.7iber.com/	Civil society	An independent media outlet covering technology and society.	2021-05-27		
Jordan	City.ai (Amman)	https://city.ai/cities/amman/	Civil society	A community of AI enthusiasts promoting AI capacity building.	2021-05-27		
Jordan	Jordan Open Source Association	https://jordanopensource.org/	Civil society	A non-profit organization that works for the promotion and implementation of the open source principles and digital rights in Jordan.	2021-05-27		
Jordan	Royal Scientific Society	https://www.rss.jo/	Civil society	An independent non-profit science institution that specialize in science-related research, policy, and education. Recently, it launched a capacity building program for students titled “Data Intensive Science”.	2021-05-27		
Jordan	King Hussein School of Computing - Princess Sumaya University of Technology	https://www.psut.edu.jo/content/master-data-science	Education and research	Offers an MSc in Data Science.	2021-05-27		
Jordan	King Abdullah II School of Information Technology - University of Jordan	http://computer.ju.edu.jo/Home.aspx	Education and research	Programs with specialisation in AI.	2021-05-27		
Jordan	Faculty of AI - Al-Balqa` Applied University	https://www.bau.edu.jo/bauar/Colleges/AI/IAR.aspx	Education and research	First faculty dedicated to AI in Jordan.	2021-05-27		
Jordan	Oasis500	http://oasis500.com/	Funding	A seed investment company and business accelerator in MENA in the Tech and Creative Industry spaces.	2021-05-27		
Jordan	Beyond Capital	http://beyondcapital.vc/	Funding	A network for Entrepreneurs, Finance Entrepreneurs and Angel Investors that aims to promote the entrepreneurial ecosystem. It includes some funding programs for Jordanian startups, usually through its angel investor network.	2021-05-27		
Jordan	Silicon Badia	https://www.siliconbadia.com/	Funding	A venture capital firm that partners with entrepreneurs to solve global-scale problems.	2021-05-27		
Jordan	Propeller	http://propellerinc.me/	Funding	A venture capital firm focused on technology, product and design.	2021-05-27		
Jordan	Adam Tech	http://adamtechventures.com/	Funding	A $5M fund that invests in technology startups.	2021-05-27		
Jordan	ISSF	https://issfjo.com	Funding	A private sector managed fund making investments in innovative startups and early stage SMEs, with contributions by the World Bank & Jordan’s Central Bank.	2021-05-27		
Jordan	Relativity Fund	https://relativelyfund.com/	Funding	A tech accelerator with limited investments.	2021-05-27		
Jordan	Shamal Start	http://www.shamalstart.com/	Funding	An accelerator in the north of Jordan, aims to support and enable entrepreneurs in creating sustainable businesses related to the manufacturing/hardware sector.	2021-05-27		
Jordan	Dash Ventures	http://dashventures.com/	Funding	Venture capital firm that invests in information technology startups.	2021-05-27		
Jordan	Ministry of Digital Economy and Entrepreneurship	http://modee.gov.jo/	Government	The Jordanian ministry responsible for the ICT sector, in addition to digital economy and entrepreneurship. Currently, the ministry is drafting a national AI policy.	2021-05-27		
Jordan	Arabot	https://arabot.io/	Industry	An intelligent Arabic chatbot to help businesses improve customer experience and deliver an enjoyable journey using AI.	2021-05-27		
Jordan	Hareef.ai	https://www.sirvy.ai/	Industry	A set of specialized chatbots that enable hotels to offer better and smoother customer experience.	2021-05-27		
Jordan	Salma.ai/Mawdoo3	http://salma.ai/Mawdoo3	Industry	An AI-based Arabic personal voice assistant.	2021-05-27		
Jordan	Labiba	https://www.labiba.ai/	Industry	An AI company specialized in building virtual agents and chatbots. Labiba is now based in UAE.	2021-05-27		
Jordan	ViaVii	https://viavii.com/	Industry	A central hub for genuine local experiences that uses AI for its travel recommendation engine and chat bot.	2021-05-27		
Jordan	Whiyse	https://www.whyise.com/	Industry	Impact analysis solution that enables organization to aggregate data from different sources and track impact based on key indicators in real-time. Whiyse raised funding to leverage AI for better results.	2021-05-27		
Jordan	Elvatus	https://web.elevatus.jobs/	Industry	A service to match employers and employees quickly and accurately using AI.	2021-05-27		
Jordan	JoVision	http://www.jo-vision.com/site/	Industry	A company that provides complete solutions for industrial tasks including Quality Control and Non Destructive Testing based on computer vision and AI.	2021-05-27		
Jordan	Baseet.ai	https://baseet.ai	Industry	A company that aims to simplify the process of building AI applications through introducing a cloud-based, visual development platform to empower businesses to build, train, and deploy AI-powered applications.	2021-05-27		
Jordan	OpenSooq	https://engineering.opensooq.com/	Industry	A classified platform that uses machine learning for recommendations.	2021-05-27		
Jordan	Open Insights	http://www.open-insights.com/	Industry	A consulting firm that gives recommendations based on data analysis using data science techniques.	2021-05-27		
Jordan	ArabiaWeather	https://www.arabiaweather.com/en	Industry	Weather forecasting company that utilises AI technology to improve its prediction technologies.	2021-05-27		
Jordan	Progresssoft	https://www.progressoft.com/products/signature-verification-recognition/ps-asv	Industry	Technology company building real-time payment solutions some of which are built using AI.	2021-05-27		
Kuwait	Kuwait Foundation for the Advancement of Science	http://kfas.com/	Civil society	Non-profit organisation that holds events related to AI and works to promote its potential in the country.	2021-05-27		
Kuwait	Erada	https://www.erada.io/	Funding	A data-driven venture capital accelerator.	2021-05-27		
Kuwait	Brilliant Lab	https://www.brilliant-lab.com/	Funding	A startup accelerator that offers funding for promising tech companies.	2021-05-27		
Kuwait	Impulse	http://www.impulse.com.kw/	Funding	A venture capital firm that invests in tech companies in the MENA region with focus on Kuwait.	2021-05-27		
Kuwait	Sharq VC	http://sharqvc.com/	Funding	A tech-focused venture capital firm based in Kuwait.	2021-05-27		
Kuwait	Kait	https://www.kait.ai/home	Industry	An AI-powered chatbot to automate businesses’ customer service.	2021-05-27		
Kuwait	Global Markets	http://globalmarkets.com.kw/	Industry	A consultancy firm for market insights about GCC markets, relying on data analysis using AI.	2021-05-27		
Kuwait	Social Intelligence	http://intelligence.social/siteENG/	Industry	A company offering content and sentiment analysis for social media and other content.	2021-05-27		
Lebanon	SMEX	https://smex.org/	Civil society	Non-governmental organisation the works to advance digital rights in Lebanon.	2021-05-27		
Lebanon	MindLab/American University of Beirut	https://sites.aub.edu.lb/mindlab/	Education and research	A research group that aims at providing state of the art solutions in the field of artificial intelligence with focus on machine learning theory and applications.	2021-05-27		
Lebanon	American University of Beirut	http://aub.edu.lb/	Education and research	Offers a minor of AI for undergraduate students.	2021-05-27		
Lebanon	Speed Accelerator	https://speedaccelerator.com/	Funding	An accelerator that empowers software startups to succeed and scale through a mentorship and $30,000 in funding.	2021-05-27		
Lebanon	BeryTech Fund	https://www.berytechfund.org	Funding	A 51 million US Dollar Beirut-based Venture Capital Fund, funded by Lebanese banks to invest in startups.	2021-05-27		
Lebanon	Match Capital	https://www.im-capital.com/	Funding	A fund that provides Matching Capital, Equity Guarantee, and Support Programs to a broad range of qualified early-stage business and investors in Lebanon.	2021-05-27		
Lebanon	Seeders	http://www.seeders.co/	Funding	A network of angel investors with a mandate to serve the Lebanese entrepreneurial landscape by injecting smart money in early-stage high-risk ventures.	2021-05-27		
Lebanon	Phoenician Fund	http://phoenicianfunds.com/	Funding	A venture capital focused on digital innovation and startup ecosystems targeting MENA countries, though most investments are in Lebanon.	2021-05-27		
Lebanon	Neotic	https://neotic.ai/	Industry	A tool for modeling and analyzing financial markets and stocks’ value using AI.	2021-05-27		
Lebanon	Anghami	https://www.anghami.com/	Industry	Anghami, a streaming service for songs, uses AI in its recommendation engine.	2021-05-27		
Lebanon	Neumann	https://neumann.ai/	Industry	A business intelligence platform to generate insights from enterprise data using AI.	2021-05-27		
Lebanon	Fig	https://www.figbots.ai/	Industry	A tool to create and customize conversational AI-based chatbots.	2021-05-27		
Lebanon	Yakshof	https://www.yakshof.com/	Industry	A media intelligence company offering media and social media monitoring & big data analysis.	2021-05-27		
Lebanon	BeamBot	https://www.beambot.co/	Industry	A video analytics platform that collects video data and transforms it into actionable insights.	2021-05-27		
Lebanon	Personafier SAL	http://www.personafier.com/	Industry	An affordable subscription based content intelligence platform that gives you real time insights on your target persona.	2021-05-27		
Lebanon	Oreyeon	https://oreyeon.com/	Industry	An AI-powered solution to optimize airports’ runway safety and security.	2021-05-27		
Lebanon	Dox	https://dox.tech/	Industry	A predictive battery maintenance platform helping EV OEMs reduce warranty costs, battery waste, and sudden failures.	2021-05-27		
Lebanon	Nar	http://www.nar.ai/	Industry	An app that automates drone data management at a fraction of the time and cost, detecting specific patterns autonomously.	2021-05-27		
Lebanon	Shelvz	https://www.shelvz.com/	Industry	Cloud-based data collection and analysis solution to optimize retail processes.	2021-05-27		
Lebanon	Ideatolife	https://ideatolife.me/service	Industry	A company offering AI development as a service for other businesses.	2021-05-27		
Lebanon	Beirut AI	https://beirutai.org/	Industry	An applied AI community aiming to enable everyone to understand and have access to AI knowledge and tools.	2021-05-27		
Lebanon	Zaka	https://zaka.ai/	Industry	A consultancy firm specialized in AI to help businesses in finding the perfect AI service fit for their needs.	2021-05-27		
Lebanon	Klangoo	https://klangoo.com/	Industry	A Natural Language Processing API to turn unstructured content into valuable information for multiple purposes.	2021-05-27		
Morocco	Al Akhawayn University	http://www.aui.ma/	Education and research	Offers the following Bachelor’s degrees: Artificial Intelligence and Robotisation, Big Data Analytics, Engineering Decision Support System	2021-05-27		
Morocco	International University of Rabat	https://www.uir.ac.ma/formation/big-data-intelligence-artificielle	Education and research	Offers a five-year combined Bachelor’s and Master’s in Computer Engineering with a Big Data stream	2021-05-27		
Morocco	The Moroccan School of Engineering Sciences	http://www.emsi.ma/formations/filieres-programmes/ingenierie-informatique-et-reseaux/	Education and research	Offers a five-year combined Bachelor’s and Master’s in Computer Engineering with a Big Data stream	2021-05-27		
Morocco	Smarti Lab	http://www.emsi.ma/recherche-innovation/smartilab/	Education and research	Hosted by theMoroccan School of Engineering Sciences, focusing on smart cities, smart grids, and artificial intelligence	2021-05-27		
Morocco	Euro-Mediterranean University of Fez	https://www.moroccoworldnews.com/2019/07/278026/artificial-intelligence-school-open-fez/	Education and research	Planning to open a school dedicated to artificial intelligence education, research, and development	2021-05-27		
Morocco	University of Cadi Ayyad	http://www.uca.ma/	Education and research	Offers a Master’s in Data Science and another one in Big Data and Cloud Computing	2021-05-27		
Morocco	Maroc Numeric Fund	https://mnf.ma/	Funding	Venture capital firm that invests in promising technology startups	2021-05-27		
Morocco	Blue Mango Capital	http://www.bluemango-capital.com	Funding	Venture capital firm that invests in several sectors including Internet-related businesses.	2021-05-27		
Morocco	Al-Khawarizmi program	https://cnrst.ma/images/CNRST/Images/Programme-Al-Khawarizmi-IA.pdf	Government	Program led by multiple governmental agencies and ministries to support research in AI and leverage its economic benefits	2021-05-27		
Morocco	Atlan Space	http://www.atlanspace.com/	Industry	Develops AI-embedded unmanned aerial vehicles to replace ground control	2021-05-27		
Morocco	Elum Energy	https://elum-energy.com/	Industry	Energy company that provides data-centric energy efficiency tracking.	2021-05-27		
Morocco	AI Inside	https://ai-inside.ma/	Industry	Offers optimisation, automisation, and consulting services to companies	2021-05-27		
Morocco	Nimble Ways	https://nimbleways.com/home/	Industry	Offers optimisation, automisation, and consulting services to companies	2021-05-27		
Morocco	DialTechnologies	https://www.dialtechnologies.net/en/artificial-intelligence/	Industry	Offers AI consulting services and develops custom conversational agents (voice and text) for clients	2021-05-27		
Morocco	Pillioty	https://pillioty.io/index.php/produits	Industry	Creates AI products such as Dust-Out to analyse the soiling ratio for PV panels and DeePic a CCTV camera embedded with computer vision	2021-05-27		
Morocco	InDataCore	https://indatacore.com/	Industry	Built a facial and pattern recognition application to accelerate identification of persons	2021-05-27		
Morocco	Mosaiclab	https://mosaiclab.io/	Industry	Made Konta an application that reads paper receipts and bills	2021-05-27		
Morocco	Medasys	https://www.medasys.ma/	Industry	Established Morocco’s first datacenter	2021-05-27		
Oman	German University of Technology in Oman	https://www.gutech.edu.om/academic/engineering-cs/computer-science/master-computer-science/	Education and research	Master of Science in Computer Science with a specialisation option in Data Science.	2021-05-27		
Oman	IDO Investments	http://www.ido.om/	Funding	A technology investment firm that invests in established companies with innovative products or solutions.	2021-05-27		
Oman	Phaze Ventures	https://www.phazeventures.com/	Funding	A venture capital firm that aims at transforming the region by unlocking the potential startups.	2021-05-27		
Oman	Oman Technology Fund	https://www.otf.om/	Funding	A fund that offers a program that covers incubation, acceleration and venture capital.	2021-05-27		
Oman	Datalytics24	https://www.datalytics24.com/	Industry	An online monitoring and analytics of web content and social media.	2021-05-27		
Lebanon	DecentraTech	https://decentra-tech.com/	Industry	A company develops AI solutions for other companies.	2021-05-27		
Palestine	7amleh	https://7amleh.org/	Civil society	Non-profit organisation that works to promote digital rights for Palestinians.	2021-05-27		
Palestine	Arab American University	https://www.aaup.edu/Academics/Graduate-Studies/Faculty-Graduate-Studies/Natural-Engineering-and-Technology-Sciences-Department/Master-Data-Science-and-Business-Analytics#	Education and research	Offers a Master’s in Data Science and Business Analytics.	2021-05-27		
Palestine	An-Najah National University	https://www.najah.edu/en/academic/undergraduate-programs/program/computer-science-apprenticeship-program/info-card/	Education and research	Offers a Computer Science apprenticeship with a specialisation in Artificial Intelligence.	2021-05-27		
Palestine	Birzeit University	https://www.birzeit.edu/	Education and research	Hosted the first Palestine Creative AI Week which culminated in a hackathon.	2021-05-27		
